SHA,commit
5749f6015fbd7abb2d52dd48c10d01a3758f5a5d,Add 2023 code definitions
38e518bff05386b6c80d8a4b08851ce74805134c,write hahaha
bc9557eeb9e869beba4d745a29f881ffa8d5c5b6,Revert "added blabla for demo"
0029ec9f1d06e9d65e28a37dbbbf62a4638d1317,added blabla for demo
3a42ba8636ff40b1d8d536d8dd4cc4e3a6bea482,update README
b9b1778826be36ba3ed28f5f720cd171e96797ac,add test data and instructions
2510b2acbafedb061edcf7c43b51cb6bae68c084,Create export_data_button.PNG
8b11bd9b1e8f98eda5aa2dd7d56e3019f0747fe2,update data dictionary and add arcade code
9a22549e99cd4df79ecacbfbb7cb8ef4b8bbc134,Create README.md
5729573a10311def02ba6318a119711610f0be12,move dictionary to the raw_data folder
71571c1f5c1d34cd5755ae934aba7d14bddbdfe3,Update data-QAQC.yaml
0f1745d25147c34c5147cd319a67c2f3a97fc025,Create README.md
598a47b759e651ea94130fa9c098b3c030881f7d,move list of checks to better spot
9794a01a1890dbfbda339d3205daa6aa1a878c96,Update README.md
d3a2e29d43f10ca9efc0ecd3c1c5b69f77a236e9,add data
17a0c9e95826722a9d2c1aee019ce44bccb34dc5,rename tag lists
4b7c7e085900fae94126ae9b5c9b93a35cfd8a4a,Update CI_QAQC_reports.R
0e8197385be749a4cc3249797f62df68c71ea1c7,Update GitHubAction_checks.csv
294abccb90183b2a5faba7731001978fbd0f5742,#3
2da69280bbf3faa9b96fc049ea6feda956749831,Revert "add data"
706216466ce5bc4fa7e75a3b78b1429bd7d22123,add data
ed5cf5d00c62336fe369131034e9fcb4b0f1dfcc,try to fix CI
250532e3179bbb17cc292839b45807036d9234ea,Update data-QAQC.yaml
f142c1d0f930e6e0fc77832791cd909cd07c0720,Update CI_QAQC_reports.R
9291e0d8a42221d7e535c19ac03b9295248be431,fix typo in folder name
167150dae24fa144a6b62ca0adc6a05d36884eda,Update CI_QAQC_reports.R
d133b15d82e5cd5804f11f1a322e7de35e1096a0,create yaml file
484cd834326f83cd0619b257963bce73a85a0cbd,revamp QAQC scripts #3
aa7e13734e2420ebec0f41e7bd2c26bf577739d1,Update GitHubAction_checks.csv
ce2ef1bee29aabd505cd074c817697abc6739751,add quadrats shapefile
211e4730baa8c627312670a16395b8f6c4048b92,Delete ~$ickguide_Recensus SCBI 2018.v1.doc
47eedf03602dc586001d02e9872add1fffd30885,Update DESCRIPTION
ba073305460b1fcdbdaf04020dcc604744fe64ba,start preparing checks  QA_QC GitHub actions #3
9195fd4e38b60ea5cb836b875dcb6841e1b2e888,Create SCBI_data_dictionary_2023_census.xlsx
b8d67be959d5a7ee44d5079d583cd6886086e998,Create mortality_census_questions.xlsx
07aeb6f4bb80580937e0a61e1aaea5e01fe5fa68,Create explore_data.R
758637b891c8074cd7d7c95bc567944e6b7814a1,create R project
72b39a840991d33b77dcd6c1cbf3d21dcc3ebc31,update list of tags
86a90e2c4f814d1905a95db6a8c475a959a6977e,add test data
f6ad0290f4d1fe5afc8c9fb165dc1ccd726f1d41,Revert "Create Quickguide_Recensus SCBI 2018_v1.doc"
d48d307fe31e51bafe922f106a759f0ce17aa222,Create Quickguide_Recensus SCBI 2018_v1.doc
7ae5518cb8eab261f24d2a0019a481f9fadf7b31,Create Quickguide_Recensus SCBI 2018.v1.doc
f5b6b03457613fe5e2dd5c2c988e97b933956694,updating list of tags needing nails #7
c6c94751c32dbcb6caaa36a7b78c1895c658f512,move tag lists
79cab59debb8d3514777de11c3f2d50b5774be2f,Create .gitignore
ef7df30edc036b05f1841b15e5a72dcaf08f7eb8,load file from John W.
e7e35d09e0af9e7aaee91d79589d134a7e220221,Update crew_lead.md
8ca6b6ad033eefacd3099991b885b32a95e2aa64,Update internships.md
65a24ad8a082fa9388b75c66070e0b50d5755209,Update internships.md
3c4abb4dd04c5b49556bd3192cc6fc5fe1d45ef8,Update internships.md)
e351e02948d4f94c4548247b0663ad9fc7cc9080,Update internships.md)
d83e4aabb0cfb425c7a655148d0148d88b4e6510,Create crew_lead.md;
3688b4d62bfebf268e0e76d99687727ddfc620d0,Update internships.md)
be01695d58d6c734a81b52baa74215223157769f,Update internships.md)
9d8a34eaeb41a5af373728cbcdd2898d8d21dfde,Update internships.md)
890fbdfabc88fd5328a2fbf01cc4e7948e0e2f7a,Create internships.md)
86ca76db34ebdbb6575e6634ac05b9af57c4a6b9,fix typos :-)
56281f8f0c0bf03aa9be418e169e32ee51717714,Update all_positions_short_ad.md
2e5e805db16d01a327c094b947784ea8dae7b384,Create all_positions_short_ad.md
b9c385814215e6c7c3066c8d0cfa513d74120e32,Update crew_lead.md
ac984404faa3be4a2df89fed22ccae8c1156200b,Update internships.md
0443b473b32ce900e1d6c22ba3dcae93ab9bfa2d,Update internships.md
af21ab6969cc870159fc3f77353fa82cff3aada4,Update crew_lead.md
eb4b983765d4c912a9b182b065504dfdc5423306,copy ad from private repo
1e6bd7530096d3f68020084178cef465b5c009a3,Create internships.md
0ab39a3656b911308ca868609c6257c104b4b162,Create crew_lead.md
d23d129f95388d74914c539377f3dc6f50e2f0c3,Delete data_methods.md
eedfcc17fa23c5bc02085eac889fba8165030905,Delete census lead.md
d97c54e82b86c7025500308b87127df5f2691f1a,Create census lead.md
d0ae989a6703fca6da10406fc33d714dfa1e1669,add list tags needing nails or new tags
452710bc0d1508ef3098d8fd46ed0cdcd2825985,Create data_methods.md
deb6a369394a996f08d4789440670e21c9f29fbc,Update methods.md
859e3dc71c71722ffbc0979438b87a350632a955,Create methods.md
3dda1d506d66ea7505fb8ebae779706eed8cbab1,Update README.md
6fdb16a199ede1d309d679be72daf1e765f8cb65,Initial commit
