OBJECTID,quadrat,tag,StemTag,lx,ly,dbh_2018,hom,codes_2018,status_2018,status_2022,comment_2022,mortality,census_status,dbh_2023,status_2023,codes_2023,code_choices,notes_2023,DBH check,living_status,crown_position,crown_intact,crown_living,fad,fad_choices,liana_load,lean_angle,wounded_main_stem,rotting_trunk,canker_swelling_deformity,dead_with_resprout,crown_check,GlobalID,CreationDate,Creator,EditDate,Editor,species,dbh_2018_mm,numeric_tag,hom_alert,lean_direction
3316,0303,30176,4,18.8,15.1,2.7,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,e1a4ac37-89c6-48c1-ab6c-09b3ac7ffb27,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,27,,,
3317,0303,30176,5,18.8,15.1,,,F;DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,ffa26d89-22b8-496b-b2ec-aa601385e624,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3318,0303,30176,6,18.8,15.1,3.3,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,4e117588-a973-42ca-8c54-7c8b6c612f3f,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,33,,,
3319,0303,30176,7,18.8,15.1,2.8,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,ff3120cb-3c34-4d9d-a545-cc5e7d5ba654,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,28,,,
3320,0303,30176,8,18.8,15.1,2.2,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,4a0aabbe-c1eb-43c5-a576-c2935c0fa3a1,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,22,,,
3321,0303,30176,9,18.8,15.1,1,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,82774af1-edc1-4160-b90f-e814f7f0ad77,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,10,,,
3322,0303,30177,2,19.3,16.5,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,b3b041fe-4ab7-4dd8-abc3-d61f99cf8426,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3323,0303,30178,2,16.8,17.1,2,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,a4d65ba2-97b9-40af-9fbf-adbaa102af5c,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,20,,,
3324,0303,30180,2,20,18.7,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,9e6bf92c-e93d-4a69-860a-de73850d4169,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3325,0304,30182,2,19.6,1.1,3.4,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,22780829-14c6-40e7-8f69-37613622b128,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,34,,,
3326,0304,30182,3,19.6,1.1,3.5,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,a15c2078-abb0-4045-89c7-613da0404c9e,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,35,,,
3327,0304,30182,4,19.6,1.1,2.8,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,e2c0f7dc-d00f-422e-89f2-1920f29a8ae4,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,28,,,
3328,0304,30182,5,19.6,1.1,1.9,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,5c7bf574-f141-43b1-bbcc-14041350bb97,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,19,,,
3329,0304,30183,2,17.7,1.3,3.3,1.3,F;M;L,alive,,,0,0,,,,,,,,,,,,,,,,,,,,0f146d69-63ab-432a-b663-b1aa2a6d0e29,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,33,,,
3330,0304,30183,3,17.7,1.3,2.3,1.3,F;S;L,alive,,,0,0,,,,,,,,,,,,,,,,,,,,2c3fc14a-6340-4c7a-8dd1-7917ad102b1a,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,23,,,
3331,0304,30183,4,17.7,1.3,2.6,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,b616ce01-80cf-49a4-8be8-4c2fc4b44c83,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,26,,,
3332,0304,30183,5,17.7,1.3,2.4,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,35f73c8d-80e5-4e20-ad0c-001e041e9abe,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,24,,,
3333,0304,30183,6,17.7,1.3,2.3,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,8e011fa1-5f37-487d-b3af-795c7bb4c6f8,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,23,,,
3334,0304,30183,7,17.7,1.3,2.1,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,c27765cb-b2f5-4daf-881a-165f840392c0,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,21,,,
3335,0304,30185,2,15.2,1.4,,,F;DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,dd60712e-7515-46b3-9f59-bd8fa452493e,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3336,0304,30186,2,13.8,0.9,,,F;DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,0a291f75-2f70-4c16-a0cc-df38892fb6df,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3337,0304,30186,3,13.8,0.9,1.9,1.3,F;DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,9a2b9b2e-51d3-4da5-a628-014c4096a1de,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,19,,,
3338,0304,30186,4,13.8,0.9,2,1.3,F;DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,9fcc50fa-f707-4a1d-8aea-3f35eb390379,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,20,,,
3339,0304,30187,2,14,2.1,,,F;DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,c587606c-a66c-4d7d-9628-7cf58fe11f57,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3340,0304,30194,2,17.9,4.2,3,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,e570ed09-9a0b-4053-a0f5-63730b108831,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,30,,,
3341,0304,30194,3,17.9,4.2,,,F;DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,cd1e681e-3392-4d10-a455-a52f4c3ac6b2,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3342,0304,30196,2,19.3,9.1,3.1,1.3,F;M,alive,,,0,0,,,,,,,,,,,,,,,,,,,,7c19d811-7136-49cc-9d15-9ea2e2baf4b5,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,31,,,
3343,0304,30196,3,19.3,9.1,,,F;DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,666b0799-8f94-443b-a23d-2c852bf5a84d,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3344,0304,30196,4,19.3,9.1,,,F;DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,8ceb573c-19f2-4534-9a87-e0ae1076f457,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3345,0304,30196,5,19.3,9.1,1.6,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,b0d0f024-e3da-4587-a36d-3fd174c7e73b,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,16,,,
3346,0304,30196,6,19.3,9.1,1.3,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,176500ce-383e-4f0b-8bab-287f29fd4eb0,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,13,,,
3347,0304,30196,7,19.3,9.1,1.2,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,cff232e3-2892-4137-8d35-26e240202331,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,12,,,
3348,0304,30198,2,15.5,9.8,1.8,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,67df264e-121f-4e45-bb38-68ffaf288eba,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,18,,,
3349,0304,30198,3,15.5,9.8,2.1,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,7a42885c-10a8-4456-8b05-95b3eba47fe2,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,21,,,
3350,0304,30198,4,15.5,9.8,7.1,1.3,F;S,alive,,"stem not sampled, info automatically filled from previous year info",0,0,,,,,,,,,,,,,,,,,,,,cedc7768-4c91-4f6f-8f14-01268f95c729,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,71,,,
3351,0304,30198,5,15.5,9.8,,,F;DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,500c69f5-cfc4-41a2-9be5-cc29b5d11ea7,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3352,0304,30198,6,15.5,9.8,2.7,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,42ab44b5-5e74-4cdc-8fd3-0a3d2034fbb7,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,27,,,
3353,0304,30198,7,15.5,9.8,1.9,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,2b4fe5bf-6317-4339-82bf-c95e2f7d4ef6,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,19,,,
3354,0304,30198,8,15.5,9.8,1.6,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,9943e4b2-8cb9-46cf-9fc9-e9e06e624682,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,16,,,
3355,0304,30198,9,15.5,9.8,1.5,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,7f0a6a59-cb0b-456a-b82b-3616fd5d6997,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,15,,,
3356,0304,30198,10,15.5,9.8,1.2,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,2d1b6ad2-91d4-4380-ba65-908181bca8ca,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,12,,,
3357,0304,30199,2,11.1,12.7,,,F;DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,b63d2d7b-6a41-4cab-92fe-ab7c8dbdfae5,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3358,0304,30202,2,16.3,12.3,2.1,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,b1620d50-4c51-4caf-b6f2-f86dab586da9,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,21,,,
3359,0304,30203,2,15.8,13.6,4.5,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,5e24dbec-3a1d-477a-9616-cc2db5a6155e,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,45,,,
3360,0304,30203,3,15.8,13.6,2.7,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,87621479-75ac-409a-bbbb-18cf5da867fb,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,27,,,
3361,0304,30203,4,15.8,13.6,,,F;DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,0d56a3ae-4afe-4929-b402-95284362e6dd,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3362,0304,30203,5,15.8,13.6,1.7,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,321ee058-4cc3-4335-b009-b7d960384bca,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,17,,,
3363,0304,30203,6,15.8,13.6,1.2,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,b071e714-9c0d-4a50-a18b-7f122f6c1056,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,12,,,
3364,0304,30204,2,17.6,15.4,1.9,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,2cfe69a6-3257-43a9-a78f-28d3a276ae40,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,19,,,
3365,0304,30209,2,14.5,19.5,,,F;DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,476f771d-a0b2-41b8-972f-b92eca154f45,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3366,0304,30209,3,14.5,19.5,1.5,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,c3f20ceb-7eb1-4678-87f0-afd62fae0240,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,15,,,
3367,0305,30220,2,8.6,6.4,35.5,1.3,F;S,alive,A,,1,0,,,,,,,,,,,,,,,,,,,,a846edd0-7c5d-4315-bb6a-08c06b491a4d,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,355,,,
3368,0306,30229,2,8.4,0.9,,,DN,stem dead,,"stem not sampled, info automatically filled from previous year info",0,0,,,,,,,,,,,,,,,,,,,,9bc63de6-5fc3-4bd1-b9f9-bf6c9a460153,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3369,0306,30235,2,15.9,19.6,3.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,324caf0e-e9b7-4115-8ee6-6aebb2d2c7c1,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,33,,,
3370,0309,30236,2,0.8,6.9,,,DS;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,78d4520d-9ffb-4e0d-a817-4a85498f64fd,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3371,0310,30244,2,3.4,0.7,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,f611714a-987b-46ce-a906-86629067bffd,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3372,0310,30245,2,3.1,4.4,1.6,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,88501ecb-b77c-47bf-9a3b-bf62e4ada1b3,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,16,,,
3373,0310,30246,2,3.2,4,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,0f6900fd-b2d2-42ca-a3ff-371c81ab7147,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3374,0310,30248,2,10.6,8.2,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,d1a40be8-4c3f-4f5d-99fa-1fd52af23eb9,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3375,0310,30257,2,11.2,20,3.7,1.3,S,alive,,,0,1,37,LI,,,,,,,,,,,,,,,,,,6f2d8678-68fd-4524-ae1b-915c0eb21ad3,3/30/2023 4:12:54 PM,shuej21,5/3/2023 3:14:07 PM,shuej21,,37,,,
3376,0311,30265,2,1.1,16.1,,1.3,DC;WR,stem dead,,,0,1,0,DN,,,,,,,,,,,,,,,,,,d88cc74e-2c52-4d40-8f90-8bb875a01d42,3/30/2023 4:12:54 PM,shuej21,5/3/2023 1:53:27 PM,shuej21,,,,,
3377,0311,30266,2,6.7,17.9,,,DN,stem dead,,"stem not sampled, info automatically filled from previous year info",0,0,,,,,,,,,,,,,,,,,,,,c3a9a960-3c2d-4f57-935d-9a749829d565,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3378,0312,30287,2,4.5,18.9,,1.3,DN,stem dead,,,0,1,0,DN,,,,,,,,,,,,,,,,,,24e6a4bf-bab0-429c-878e-a07a2bce7215,3/30/2023 4:12:54 PM,shuej21,5/4/2023 7:23:38 PM,shuej21,,,,,
3379,0312,30289,2,5.3,17,,1.3,DN,stem dead,,,0,1,0,DN,,,,,,,,,,,,,,,,,,893b44ec-d6dc-4021-be68-f253f6b51c23,3/30/2023 4:12:54 PM,shuej21,5/5/2023 1:23:02 PM,shuej21,,,,,
3380,0312,30290,2,7,14.2,4.6,1.3,S,alive,,,0,1,49,LI,,,,,,,,,,,,,,,,,,6f17c379-b463-45eb-a29c-6e71d3f5020d,3/30/2023 4:12:54 PM,shuej21,5/8/2023 2:01:32 PM,shuej21,,46,,,
3381,0312,30290,3,7,14.2,2.9,1.3,S,alive,,,0,1,31,LI,,,,,,,,,,,,,,,,,,83e9e8df-aecb-4dcd-94b8-5941d22fe9be,3/30/2023 4:12:54 PM,shuej21,5/8/2023 2:09:51 PM,shuej21,,29,,,
3382,0312,30290,4,7,14.2,2.6,1.3,S,alive,,,0,1,29,LI,,,,,,,,,,,,,,,,,,85695ffc-03b9-425b-8889-b493fdbe2440,3/30/2023 4:12:54 PM,shuej21,5/8/2023 2:10:09 PM,shuej21,,26,,,
3383,0313,30298,2,2,3.5,1.1,1.3,M,alive,,,0,0,,,,,,,,,,,,,,,,,,,,6166b434-135d-4a83-99c7-2c2f84705379,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,11,,,
3384,0304,30301,2,10.9,14,,,F;DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,d39047fb-955a-46ae-a2ad-20fdf67df2c9,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3385,0304,30302,2,12.5,15.8,,,F;DC;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,8fb4738d-7676-4f8f-99c5-0a9ddf364579,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3386,0304,30302,3,12.5,15.8,2.6,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,ef426d28-0439-4a7b-a8f1-d1d2ca2789eb,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,26,,,
3387,0304,30302,4,12.5,15.8,1.9,1.3,F;S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,50ca3257-28de-484d-8174-0ca76fcbaf47,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,19,,,
3388,0306,30321,2,2.6,10.6,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,0cc5109b-9081-4646-a184-05c3f334553b,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3389,0306,30321,3,2.6,10.6,3.6,1.3,J;M;L,alive,,,0,0,,,,,,,,,,,,,,,,,,,,b247578b-b909-425d-b7ca-c81f8de5b203,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,36,,,
3390,0306,30321,4,2.6,10.6,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,f3c40618-c497-4d8c-895e-72155edc92c0,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3391,0306,30321,5,2.6,10.6,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,c1b92805-67fc-4437-8f82-5933b17d1670,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3392,0306,30323,2,1.5,11.8,,,DC,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,8af8f820-2508-4b87-810c-911d0d67ad9e,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3393,0306,30325,2,0.5,15.8,2.8,1.3,M,alive,,,0,0,,,,,,,,,,,,,,,,,,,,6f5e51b6-5f83-4267-ae87-6483119f64bb,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,28,,,
3394,0306,30325,3,0.5,15.8,1.7,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,97f80d48-024c-404e-abaf-d76d0e508019,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,17,,,
3395,0306,30325,4,2.7,15.8,2,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,4f708533-c0ea-4762-821e-67d4f597ef2c,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,20,,,
3396,0306,30325,5,2.7,15.8,1.7,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,16c120c2-920a-4bf9-b2dd-3717e751ffbe,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,17,,,
3397,0306,30326,2,4,15.9,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,a8faebf3-0e08-4a57-8980-cd629ecaa2a8,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3398,0306,30326,3,4,15.9,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,a58004d3-89c0-4ea4-942f-a15d8f195504,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3399,0306,30326,4,4,15.9,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,010af35e-d535-4f77-ac39-e721ae3072fe,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3400,0306,30326,5,4,15.9,,,DN,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,6aa80544-a871-4d62-9d4c-c25538d121b1,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3401,0306,30327,2,4.1,12.5,4.7,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,eeb9c573-1402-4407-8872-36ea84fe69b1,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,47,,,
3402,0306,30327,3,4.1,12.5,2.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,726e4c0e-bb84-463a-9116-33c4f3d06762,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,23,,,
3403,0306,30327,4,4.1,12.5,1.2,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,962f379c-135c-49a9-b6c3-bcc0cf8c8f87,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,12,,,
3404,0306,30327,5,4.1,12.5,1.1,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,c338bd2d-56b9-4230-a4d8-fa2a252d7b1e,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,11,,,
3405,0306,30330,2,7,15.5,2.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,ed521ac4-c0ae-4667-94bd-80b035f5d3d4,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,23,,,
3406,0306,30330,3,7,15.5,1.2,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,82cb593d-5aea-44e7-b0d0-4a5da441a66f,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,12,,,
3407,0307,30335,2,16,4.3,4.3,1.3,L;M,alive,,,0,0,,,,,,,,,,,,,,,,,,,,d197d92b-a6ab-43a8-aa7b-bf6972ad1ede,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,43,,,
3408,0307,30335,3,16,4.3,,,DC;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,d2d08a94-f79a-49df-9ef8-94628f3147d8,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3409,0307,30335,4,16,4.3,,,DC;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,3a0a6ee2-a41b-49d6-b403-6ea1da714d33,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3410,0307,30335,5,16,4.3,,,DC;WR,stem dead,,,0,0,,,,,,,,,,,,,,,,,,,,3ce254fe-0c5d-4495-9a87-29d592460799,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
3411,0307,30335,6,16,4.3,2.8,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,ab3a2361-ee42-4e4b-a726-38d93a6b8040,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,28,,,
3412,0307,30335,7,16,4.3,1.7,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,ba7167e1-c6c0-4185-b2bd-d3423f66f016,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,17,,,
3413,0307,30335,8,16,4.3,1.9,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,24725f4b-0fe0-4c03-bee1-673e0c0faa7e,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,19,,,
3414,0307,30335,9,16,4.3,1.6,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,318c5088-02a8-4ac4-87a8-f2efb6999c46,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,16,,,
3415,0307,30335,10,16,4.3,1.4,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,7ab7c6ad-488a-464e-bb4d-c4be03b74388,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,14,,,
3416,0307,30335,11,16,4.3,1.3,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,2292b7bb-4e58-42f9-a8fd-ac8e7dc51386,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,13,,,
3417,0307,30335,12,16,4.3,1.1,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,204bdf31-d168-4cca-bb31-38ab6de64358,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,11,,,
3418,0307,30338,2,6.7,1.5,3.7,1.3,S,alive,,,0,0,,,,,,,,,,,,,,,,,,,,99828348-7f6b-481c-8862-923adeeb046c,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,37,,,
